KOEN1
24
45
<CIRCLE 537 243 1 0 0>; 1.0307 1.05915 1.06485 1.04096 1.0427 1.06175 1.00745 1.0095 1.00048 -0.557912 -0.410112 0.339331 -0.435201 -0.667593 -0.720169 -0.957738 -0.815919 -0.33997 -0.167337 -0.379638 -1.04185 -1.44518 -0.0186458 0.000216393;
<CIRCLE 542 211 1 0 0>; 1.0604 1.08261 1.09455 1.06962 1.07437 1.08766 1.00342 1.00553 1.00167 -0.18299 -0.233487 -0.0447852 -0.338572 -0.643219 -0.716677 -0.538813 -0.589451 -0.682044 -0.433227 -0.462847 -0.677725 -0.735148 -0.722397 0.201086;
<CIRCLE 539 275 1 0 0>; 2.70994 2.84166 1.79549 2.75603 2.15789 2.20305 1.01382 1.04492 1.05125 8.54993 4.61573 -1.02731 -5.46259 -17.8815 -7.12257 -2.70205 -3.03961 -15.7904 -20.5091 -10.7765 -8.45233 0.030782 -13.3854 13.1309;
<CIRCLE 537 222 1 0 0>; 1.23979 1.5205 1.54578 1.35092 1.35938 1.53197 1.03295 1.03709 1.00145 1.32449 -0.076536 -2.20611 1.88862 2.71969 1.87173 3.02421 1.60786 0.446579 1.66605 2.71031 4.14034 3.95173 -1.81021 -3.12093;
<CIRCLE 531 265 1 0 0>; 2.01277 2.10585 1.88938 2.05478 1.93836 1.98521 1.0039 1.01215 1.00957 -2.19175 -3.15456 -1.36803 1.6113 -3.96943 -2.53682 -2.49242 -2.74094 -4.45397 0.33874 1.58531 -2.03124 -6.70457 -4.9224 -5.51288;
<CIRCLE 542 249 1 0 0>; 1.02109 1.02854 1.03315 1.02374 1.02464 1.03008 1.00209 1.00482 1.00147 -0.330782 -0.370668 0.114104 -0.226542 -0.32405 -0.429586 -0.534236 -0.56738 -0.205928 -0.0188963 -0.0825858 -0.530166 -0.834877 -0.102394 -0.246481;
<CIRCLE 545 219 1 0 0>; 1.23071 1.41347 1.42949 1.30736 1.3128 1.42019 1.01777 1.0208 1.00179 0.856675 -0.122671 -1.32817 0.954198 -1.27181 -2.84983 0.838885 -0.368005 -3.00504 -0.381805 -0.280753 -1.1129 0.277574 -4.74945 -1.48668;
<CIRCLE 534 243 1 0 0>; 1.031 1.05857 1.06539 1.04103 1.0431 1.0617 1.00706 1.00954 1.00052 -0.355672 -0.438017 -0.102049 -0.425941 -0.672632 -0.612929 -0.756473 -0.820422 -0.73018 -0.364874 -0.300934 -0.5785 -1.06163 -0.768624 -0.0805788;
<CIRCLE 534 275 1 0 0>; 3.50225 4.13603 2.39141 3.78474 2.86027 3.08285 1.01125 1.02373 1.04071 -0.69859 -0.727683 -0.273821 -21.8538 -30.1061 -13.2428 -26.3979 -21.8162 -25.5286 -25.9767 -13.6483 -16.4376 -30.3953 -20.6432 13.6044;
<CIRCLE 427 221 1 0 0>; 1.01644 1.01647 1.0167 1.01639 1.01633 1.01628 1.00012 1.00047 1.00059 -0.040696 -0.0246598 0.0051916 0.0417142 0.0154923 0.0142678 0.00179488 0.0172971 0.0198363 0.0550997 0.0384138 0.00913421 -0.0377878 0.0249655 -0.0628534;
<CIRCLE 427 189 1 0 0>; 1.02723 1.03073 1.03374 1.02847 1.02862 1.03077 1.00098 1.00362 1.00285 0.00811416 -0.120387 -0.145108 -0.409263 -0.468898 -0.389477 -0.400909 -0.533087 -0.608771 -0.472368 -0.306877 -0.278646 -0.396934 -0.716805 0.185032;
